;Str;Sh_C;Sh_E;B_Qt;P_Qt;M_Qt;M1;B_Var;P_Var;M_Var;Sanctuaire;Contexte;Min;TPQ;TAQ
Alis P3;0.75;1;1;0;0.0625;0.182;0.33;0;0.125;0.143;A2;Urb;Nm;P1A;P1B
Alis P4;1;1;1;0;0.0625;0.182;0;0;0.125;0.143;A2;Urb;Nm;P2;P2
Alis P5;0.75;1;0.6;0;0.625;1;0.33;0;1;1;A2;Urb;Nm;P3;P4
Andl;0.25;0;0.1;0;0;0;0;0;0;0;A0;EUrb;Nm;P4;P4
ArcB;0;1;0.4;0;0.0625;0;0;0;0.125;0;B1;EUrb(ER);Nm;T_N;T_N
ArnD;0.25;1;0;0;0.0625;0;0.33;0;0.125;0;A0;EUrb;Nm;P0;P4
Bain;0;1;0.4;0;0;0;0.66;0;0;0;B1;Urb;MinC;P0;P4
Blsm;0.75;0;0.4;0;0;0;0;0;0;0;A0;EUrb;Nm;P1B;P1B
BilC;0.25;1;0;0;0.0625;0;0;0;0.125;0;A0;EUrb;Nm;T_N;T_N
Blcy;0;1;0.6;0;0;0;0.33;0;0;0;A0;Urb;MinC;P0;P4
BrBa P1;0;1;0.6;0.0769;0;0;1;0.125;0;0;A0;Urb;MinC;P0;P1A
BrBa P2;0;1;0.6;0;0.0625;0;0.66;0;0.125;0;A0;Urb;MinC;P1A;P4
Buss;0.25;1;0.2;0;0.0625;0;0.33;0;0.125;0;B1;EUrb(ER);Nm;T_N;T_N
Chat;0;0.5;0;0;0.3125;0;0.33;0;0.5;0;A1;EUrb;Nm;P0;P4
Brte;0.75;0;0;0;0.3125;0;0.66;0;0.5;0;A1;EUrb;Nm;P0;P3
Cuss;0.25;0;0.4;0;0;0;0;0;0;0;B1;EUrb(ER);Nm;P1B;P4
Dnvr P1;0.5;1;0.2;0;0;0.182;0.33;0;0;0;A1;Urb;Nm;P2;P2
Dnvr P2;0.5;1;0.6;0;0;0;0;0;0;0.143;A1;Urb;Nm;P3;P4
Esco;0.25;0.5;0;0.0769;0;0.273;0.33;0.125;0;0.286;B1;EUrb(ER);Nm;P1A;P1B
Essr P2;0.75;0;0;0.0769;0.0625;0;0;0.125;0.125;0;A2;EUrb;Nm;P1A;P1B
EssrP3;1;1;0;0;0.5625;0.182;0;0;0.75;0.286;A2;EUrb;Nm;P2;P4
Esey;0.75;1;0.4;0;0.0625;0;0;0;0.125;0;A2;EUrb(ER);Nm;T_N;T_N
Etlt;0;0;0.4;0;0.125;0;0;0;0.25;0;B1;EUrb(ER);Nm;T_N;T_N
Frey;0.75;0;0;0;0.0625;0;0;0;0.125;0;A0;EUrb;Nm;P2;P4
Glux P2;0;0;0.3;0;0;0.09;0.33;0;0;0.143;B1;Urb;Nm;P-1;P0
Glux P3;0;0;0.7;0.0769;0;0;0;0.125;0;0;B1;Urb;Nm;P1A;P1A
Grnd StG;0.25;0;0;0;0;0;0.33;0;0;0;B1;Urb;Nm;T_N;T_N
Grnd Agg;0.25;0;0;0;0;0.09;0;0;0;0.143;A0;Urb;Nm;T_N;T_N
Grsg;0.25;0;0.2;0;0.0625;0;0;0;0.125;0;B1;Urb;Nm;P1A;P1B
Illz;0;1;0.4;0;0;0;0;0;0;0;B1;EUrb(ER);Nm;P1A;P4
Ladx;0;1;0;0;0;0;0.33;0;0;0;B1;EUrb;Nm;T_N;T_N
LNcy Dmt;0;0;0;0;0;0;0.66;0;0;0;B1;EUrb;Nm;T_N;T_N
Lgre Fee;0.25;0;0;0;0;0;0;0;0;0;A2;EUrb;Nm;P1B;P1B
Lgre Fra;0.75;0;0.1;0;0.0625;0;0;0;0.125;0;B0;EUrb(ER);Nm;P0;P2
Lemb;0.75;0;0.1;0;0;0;0;0;0;0;A2;EUrb;Nm;P2;P4
LuxB;0.5;1;0.6;0.308;0.0625;0.09;0;0.25;0.125;0.143;A1;Urb;MinC;P1A;P4
Mack P2-P3;0.75;0;0.1;0;0;0;0;0;0;0;A2;EUrb(ER);Nm;P2;P3
Mack P4;0.75;0;0.1;0;0;0;0;0;0;0;A1;EUrb(ER);Nm;P3;P4
Magn;0.25;1;0;0;0;0;0.33;0;0;0;B1;EUrb(ER);MinS;P1A;P4
MgnC P2;1;0.5;0;0.154;0;0;0;0.25;0;0;A2;EUrb;Nm;P0;P1A
MgnC P4;0.75;0;0.7;0;0;0;0;0;0;0;A2;EUrb;Nm;P1B;P4
