;Str;Sh_C;Sh_E;B_Qt;B_Var;P_Qt;P_Var;M_Qt;M_Var;M1_i;P-1;P0;P1A;P1B;P2;P3;P4;Sanctuaire;Contexte;Min
Alis P3;0.75;1;1;0;0;0.118;0.222;0.182;0.143;0.33;0;0;1;1;0;0;0;A2;Urb;Nm
Alis P4;1;1;1;0;0;0.118;0.222;0.182;0.143;0;0;0;0;0;1;0;0;A2;Urb;Nm
Alis P5;0.75;1;0.6;0;0;0.647;1;1;1;0.33;0;0;0;0;0;1;1;A2;Urb;Nm
Andl;0.25;0;0.1;0;0;0.059;0.111;0;0;0;0;0;0;0;0;0;0.03125;A0;EUrb;Nm
ArcB;0;1;0.4;0;0;0.059;0.111;0;0;0;0;0;0;0;0;0;0;B1;EUrb(ER);Nm
ArnD;0.25;1;0;0;0;0.059;0.111;0;0;0.33;0;0.125;0.125;0.125;0.125;0.125;0.125;A0;EUrb;Nm
Bain;0;1;0.4;0;0;0;0;0;0;0.66;0;0.375;0.375;0.375;0.375;0.375;0.375;B1;Urb;MinC
BilC;0.25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A0;EUrb;Nm
Blcy;0;1;0.6;0;0;0.118;0.222;0;0;0.33;0;0.90625;0.90625;0.90625;0.90625;0.90625;0.90625;A0;Urb;MinC
Blsm;0.75;0;0.4;0;0;0;0;0;0;0;0;0;0;0.375;0;0;0;A0;EUrb;Nm
BrBa P1;0;1;0.6;0.0769;0.125;0.059;0.111;0;0;1;0;1;1;0;0;0;0;A0;Urb;MinC
BrBa P2;0;1;0.6;0;0;0.118;0.222;0;0;0.66;0;0;1;1;1;1;1;A0;Urb;MinC
Brte;0.75;0;0;0;0;0.353;0.556;0;0;0.66;0;0.8125;0.8125;0.8125;0.8125;0.8125;0;A1;EUrb;Nm
Buss;0.25;1;0.2;0;0;0.059;0.111;0;0;0.33;0;0;0;0;0;0;0;B1;EUrb(ER);Nm
Chat;0;0.5;0;0;0;0.294;0.444;0;0;0.33;0;0.90625;0.90625;0.90625;0.90625;0.90625;0.90625;A1;EUrb;Nm
Cuss;0.25;0;0.4;0;0;0;0;0;0;0;0;0;0;0.4375;0.4375;0.4375;0.4375;B1;EUrb(ER);Nm
Dnvr P1;0.5;1;0.2;0;0;0.059;0.111;0.182;0;0.33;0;0;0;0;0.78125;0;0;A1;Urb;Nm
Dnvr P2;0.5;1;0.6;0;0;0.118;0.222;0;0.143;0;0;0;0;0;0;0.78125;0.78125;A1;Urb;Nm
Esco;0.25;0.5;0;0.0769;0.125;0;0;0.273;0.286;0.33;0;0;0.8125;0.8125;0;0;0;B1;EUrb(ER);Nm
Esey;0.75;1;0.4;0;0;0.059;0.111;0;0;0;0;0;0;0;0;0;0;A2;EUrb(ER);Nm
Essr P2;0.75;0;0;0.0769;0.125;0.118;0.222;0;0;0;0;0;0.90625;0.90625;0;0;0;A2;EUrb;Nm
Essr P3;1;1;0;0;0;0.059;0.778;0.182;0.286;0;0;0;0;0;0.90625;0.90625;0.90625;A2;EUrb;Nm
Etlt;0;0;0.4;0;0;0.118;0.222;0;0;0;0;0;0;0;0;0;0;B1;EUrb(ER);Nm
Frey;0.75;0;0;0;0;0.118;0.222;0;0;0;0;0;0;0;0.125;0.125;0.125;A0;EUrb;Nm
Glux P2;0;0;0.3;0;0;0;0;0.09;0.143;0.33;0.875;0.875;0;0;0;0;0;B1;Urb;Nm
Glux P3;0;0;0.7;0.0769;0.125;0;0;0;0;0;0;0;0.875;0;0;0;0;B1;Urb;Nm
Grnd Agg;0.25;0;0;0;0;0.059;0.111;0.09;0.143;0;0;0;0;0;0;0;0;A0;Urb;Nm
Grnd StG;0.25;0;0;0;0;0;0;0;0;0.33;0;0;0;0;0;0;0;B1;Urb;Nm
Grsg;0.25;0;0.2;0;0;0.059;0.111;0;0;0;0;0;0.03125;0.03125;0;0;0;B1;Urb;Nm
